Company Name,year,Total Revenue,Total income,Total Assets,Total Liabilities,cash from OA
Apple,2020,274515,57411,323888,258549,80674
Apple,2021,365817,94680,351002,287912,104038
Apple,2022,394328,99803,352755,302083,122151
Apple,2023,383285,96995,352583,290437,110543
Tesla,2020,31536,862,52148,28418,5943
Tesla,2021,53823,5644,62131,30548,11497
Tesla,2022,81462,12587,82338,36440,14724
Tesla,2023,96773,14974,106618,43009,13256
Microsoft,2020,143015,44281,301311,183007,60675
Microsoft,2021,168088,61271,333779,191791,76740
Microsoft,2022,198270,72738,364840,198298,89035
Microsoft,2023,211915,72361,411967,205753,87582
